,0,1,2,3
2760,2020.05.19.,인사이트,온종일 비오는 오늘(19일) 친구랑 같이 먹으면 소주 2병 순삭하는 고소+쫀득 ...,"이런 날 주종은 소주, 안주는 곱창이 제격 아닐까. 19일 기상청에 따르면 이날 새벽 3시 중부 서해안에서 시작된 비는 전국으로 확대돼 대부분 지역에서 오후 9시까지 내릴 것으로 보인다. 아침부터 내린 비는 많은 이들의..."
2761,2020.05.19.,중도일보,"맥키스컴퍼니, 청양사랑인재육성 장학금 기탁","지난해 맥키스컴퍼니와 청양사랑인재육성장학회는 2028년까지 10년 동안 청양지역 일반음식점에서 판매되는 '이제 우린' 소주 판매량에 따른 적립금을 매년 기탁하는 협약을 했다.조웅래 회장은 ""지난해 장학회와..."
2762,2020.05.19.,중도일보,"(주)맥키스 컴퍼니, 태안군사랑장학회에 장학금 581만원 기탁",이번에 기탁한 장학금은 지난해 태안군사랑장학회와 ㈜맥키스 컴퍼니가 맺은 인재육성 장학기금 조성 업무협약에 따라 ㈜맥키스 컴퍼니는 태안지역 일반음식점에서 판매된 ‘이제우린’ 소주 한 병당 5원을 적립한...
2763,2020.05.19.,충청뉴스,"(주)맥키스 컴퍼니, 태안군사랑장학회에 장학금 581만 원 기탁","이번에 기탁한 장학금은 지난해 태안군사랑장학회와 ㈜맥키스 컴퍼니가 맺은 '인재육성 장학기금 조성 업무협약'에 따른 것으로, ㈜맥키스 컴퍼니는 협약에 따라 태안지역 일반음식점에서 판매된 '이제우린' 소주 한..."
2764,2020.05.19.,경남일보,낙지볶음,"낙지 개체 수 감소가 심각해지자 해양수산부에서 산란기 동안 지역별로 금어기를 지정 고시하고 있다.... 낙지볶음에 소주 한잔하면서 어민들도 웃고, 서민들도 웃는 그런 날이 빨리 왔으면 좋겠다."
2765,2020.05.19.,충청일보,맥키스컴퍼니 장학금 1314만원 기부,이 기부금은 맥키스컴퍼니와 천안시가 지난해 7월 인재육성 장학금 조성을 위한 업무협약을 체결하고 2019년 한 해 동안 천안지역 일반 음식점에서 이제우린 소주를 1병당 판매할 때마다 5원씩 적립해 마련했다....
2766,2020.05.19.,톱스타뉴스,"[뉴트로 푸드]무안 양파김치 없는 짚불구이, 느끼해 금방 질리죠","일본에서 양파 종자와 재배기술을 들여와 재배가 시작됐으며, 이후 함평과 장성, 나주, 영광 등 인근지역으로... 양파음료 그대로 먹는 것도 좋지만 소주를 혼합해 마시는 일명 '양주(양파＋소주)'는 목넘김이 편해 일부..."
2767,2020.05.19.,뉴시스,"[뉴트로 푸드]무안 양파김치 없는 짚불구이, 느끼해 금방 질리죠","일본에서 양파 종자와 재배기술을 들여와 재배가 시작됐으며, 이후 함평과 장성, 나주, 영광 등 인근지역으로... 양파음료 그대로 먹는 것도 좋지만 소주를 혼합해 마시는 일명 '양주(양파＋소주)'는 목넘김이 편해 일부..."
2768,2020.05.18.,천지일보,"㈜맥키스컴퍼니, 천안사랑장학재단에 '지역인재 육성' 장학금 전달",음식점에서 '이제우린' 소주를 1병당 판매할 때마다 5원씩 적립하며 마련했다. 맥키스컴퍼니는 누적 2000만원 이상의 장학후원금을 천안시에 기탁하고 있다. 현재 시행중인 '지역사랑 장학캠페인'을 통해 2019~2028년...
2769,2020.05.18.,경상매일신문,건강한 생활수칙 실천으로 고혈압 예방을,"세계에서 환자 비율이 가장 낮은 지역은 미국과 캐나다로 고혈압 환자가 성인 인구의 20% 이하로 조사됐다.... 그러나 과음은 오히려 해로우며 권장되는 음주량은 하루에 위스키 한 잔, 소주 세 잔, 맥주 한 병 정도이다...."
2770,2020.05.18.,경인일보,광주시 '남한산성 막걸리 부활' 힘싣는다,"남한산성 소주다.시는 우선 막걸리 부활 전략으로, 막걸리 생산자와 판매자(음식점)가 협동조합을 만들어 수익을 배분하는 형태의 마케팅을 추진하고 있다. 남한산성면은 광주 경안탁주 합동제조장과 지역 음식점들이..."
