,0,1,2,3
805,2020.11.25.,아주경제,[유통레이더] 갤러리아백화점·현대백화점·GS25·스타벅스 外,"[사진=현대백화점 제공] ◆ GS25, 전국 네트워크 활용해 전통주 발굴에 나섰다 GS리테일이 운영하는 편의점... 않은 전통주에 대한 문의를 분기별로 진행했다. 추천된 전통주는 사내 소모임 GS25전통주발굴단(일명 G전발)..."
806,2020.11.25.,노컷뉴스,"골든블루 '혼', 홈플러스 신규 입점","특히, 이번 '홈플러스' 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 '혼'을 적극적으로 입점시켜 소비자 접점을 대폭 확대하기로 했다. 골든블루 김동욱 대표는 ""가정용 주류 시장은 몇 년 전부터..."
807,2020.11.25.,로이슈,"GS25, 전북 무주 머루로 만든 전통 소주 ‘밤빛머루’ 선보여","GS25가 전국에 있는 소규모 양조장에서 만드는 전통주 홍보 동반자로 나선다. GS리테일이 운영하는 편의점 GS25는 전국에 위치한 오프라인 점포 네트워크를 활용한 정보를 바탕으로 좋은 전통주 발굴에 나서, 이달..."
808,2020.11.25.,뉴시스,조선시대 한글 고조리서 '음식절조' 학술세미나 개최,"임노직 한국국학진흥원 수석연구위원, 김귀영 경북대 명예교수, 박록담 한국전통주연구소장, 안귀남 상지대 연구교수 등의 주제발표도 이어진다. 경북 종가음식문화보존회 종부들은 종가다과 도시락 세트를 준비해..."
809,2020.11.25.,남도일보,"골든블루, 숙성 증류주 '혼', 홈플러스 입점","특히, 이번에 대형 유통망인 '홈플러스' 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 '혼'을 적극적으로 입점시켜 전국 소비자들이 '혼'을 접할 수 있는 기회를 늘려가겠다는 방침이다. 김동욱..."
810,2020.11.25.,아이뉴스24,"[오늘의 유통 단신] 던킨, '윈터 스테이' 캠페인 실시 外","골든블루는 홈플러스 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 혼을 적극적으로 입점시켜 전국 소비자들이 ‘혼’을 접할 수 있는 기회를 늘려가겠다는 방침이다. ◆K2, 4개 소방본부에..."
811,2020.11.25.,이코노믹리뷰,"골든블루 '혼', 홈플러스 입점...고급 증류주 시장 연착륙","특히 대형 유통망인 '홈플러스' 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 '혼'을 적극 입점시켜 전국 소비자들이 '혼'을 접할 수 있는 기회를 늘려갈 방침이다. 제품은 홈플러스 전국 점포에서..."
812,2020.11.25.,시사오늘,"[유통오늘] 오비맥주, 카스 0.0 쿠팡 판매 개시…골든블루 숙성 증류주 '혼',...","특히 이번에 대형 유통망인 홈플러스 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 혼을 적극적으로 입점시켜 전국 소비자들이 혼을 접할 수 있는 기회를 늘려가겠다는 방침이다. 롯데면세점, CJ..."
813,2020.11.25.,데일리한국,"골든블루, 숙성 증류주 ‘혼’ 가정용 시장 본격 공략","최근 가정에서 편하게 주류를 즐기는 홈술 문화에 발맞춰 골든블루는 홈플러스 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 혼을 적극적으로 입점 시킬 예정이다. 골든블루는 연말 주류 성수기에..."
814,2020.11.25.,MTN,"GS25, 전국 오프라인 네트워크 활용해 전통주 발굴","GS25에서 판매하는 지역 전통주 꽃빛서리(왼쪽), 밤빛머루 상품 이미지. 사진/GS리테일GS25가 전국에 있는 소규모 양조장에서 만드는 전통주 홍보 동반자로 나선다.GS리테일이 운영하는 편의점 GS25는 전국에 위치한..."
